source,risk_label,task_id,sha256,file_size,nodes,local_score
octavi_6042,untested-public,task047,47a46e508c02fcb38993c9c78919ba4f305ff5f3d9149399dbaf51657f0d10ec,3246,31,16.070697
octavi_6042,untested-public,task048,d4c7088b8aa6bf4b2b226ce0dacecda44faf247049312f97e6d3e0d87574fa0a,5695,49,15.913976
octavi_6042,untested-public,task049,a37e8cb1f6134fded24f6bb205efbdfe9c4b4f96f2b9195d9db3108653eadb0c,3516,29,14.613685
octavi_6042,untested-public,task050,817ceed6eed8f8639a03c7d8fc0b41ca1fc3ca5ef6ff87cb970dba5a510cd4be,2540,19,15.752846
octavi_6042,untested-public,task051,86c7a1f4a9e1078f7176aac19c741859d1d72d5c8deeca5cd5fea73bfa951c7c,3365,57,13.587204
octavi_6042,untested-public,task052,a506cc379f43f613ec0879da1737edf134628e2d759c6d40c886ba16e97ef73b,1277,10,17.567516
octavi_6042,untested-public,task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,175,1,21.598803
octavi_6042,untested-public,task054,a2e77f3a92ad3273e4de5710e47222a0da5f4948d3fcf9860f0675f88f35a8c6,9728,118,12.887930
octavi_6042,untested-public,task055,194c76a7c1f255cb8d516d9ba1ac658ddc6f99f862956432b21d038cfd5f4c1c,21458,164,14.473627
octavi_6042,untested-public,task056,2306a2e7b1dd27af9e0ec17099ee8ed0568f6696623537f2599419319f7dd8cd,1515,7,18.672063
octavi_6042,untested-public,task057,fe71c735896585cb2e65fe6bfc6479a0d1ef8b1f8f2c7b7a1fe27b318ca72304,1880,18,14.246041
octavi_6042,untested-public,task058,4e55a6bf22945253193de151ca9e08970485d28911fd21ae67ea20e7e71ece72,27439,15,15.310387
octavi_6042,untested-public,task059,7b3cd67ffb0008721082c7e1497b195b3c91364ade4b206a8aca22caba8fd4c5,12715,20,14.740203
octavi_6042,untested-public,task060,ea4ad862446e19cbf2b7fecaf9051e6801c47b6c337bfc46e9530eddcebc41e9,3039,16,15.779610
octavi_6042,untested-public,task061,27289ea0d11a669fe413e1b05826321af3d079ce8a5555fa2610a93704612c2e,17030,9,15.152342
octavi_6042,untested-public,task062,d57d9a3dc711a3fa8561eb45e9b6fd261c7ab89c7fb30c7fca0080d49013c37c,22124,194,14.231747
octavi_6042,untested-public,task063,5c8811b2da8473750953376c6dbdd913b50bc29b96f9a16a09cf201df9a483ce,3709,34,14.666940
octavi_6042,untested-public,task064,58b449d06ee31558e5b72e234bafcedd075ca374d90de0e17b116281716fafd3,5809,48,13.210838
octavi_6042,untested-public,task065,a191af856b41ba1a6079e9a8dc2ef26069291cfbf182a5623693579f33263b3c,2705,36,14.152315
octavi_6042,untested-public,task066,b61c747510a726482b9e94d6a1f12568b4252800f11145d34630404f68048d3c,180173,1642,11.878567
octavi_6042,untested-public,task067,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,892,7,19.247427
octavi_6042,untested-public,task068,fda283a479d2067e6eebc121aa1bc5b50af395b15a844c4a0742f3861f4d58f9,2335,23,15.204599
octavi_6042,untested-public,task069,fb91d90981c4b2168ade67173f5ea1376db182db9350dbdf930d3cb5026325da,32330,380,13.647595
octavi_6042,untested-public,task070,c09e95105072fd97b2106ecebc5fdb42c86bd41e9994b310781aa321351ec9d5,11844,71,13.900501
octavi_6042,untested-public,task071,2d696d39af281a3a0ca1582e413672e8ef38ef9f06d584f19844a45a6e2aa4a2,12082,49,13.226404
octavi_6042,untested-public,task072,188545c2133e8f311a556d754e465f755bfe94c8c5afb0495df211beb64cec49,1625,9,17.341772
octavi_6042,untested-public,task073,c974fda7fe3001de4bd2200b9065826ac44cf359fcb1949954b82f28411b5b63,3825,1,18.186555
octavi_6042,untested-public,task074,8194b1eba8a395566d686766b74869219cdfdaec5105dbad5f36b6ef32435be8,1824,18,15.009189
octavi_6042,untested-public,task075,e42e990b0d7538c360b7ec46a58a74ddd4c3f1dd5db79365dd85700a10e25015,7736,46,14.128218
octavi_6042,untested-public,task076,b4407303acf9c1e5f20cfa3fd883aeb90b14ae0fb233d68ecbaf4620c0bc88fb,948872,220,10.340899
octavi_6042,untested-public,task077,e9ba6003d604dc8eabe4c1293832b222739a2738c2838b1512ae380d87d398bb,9860,72,12.832912
octavi_6042,untested-public,task078,1f42d518b8bed0679fb0978abe48fb184ffa7bd3bff6e10ee8bf6312e0d5faba,2588,22,15.335023
octavi_6042,untested-public,task079,60ad44e5b208b22c2d4a93f322baf5362bf4a0b2cec7283e9db31f1de40a9346,2695,20,14.875251
octavi_6042,untested-public,task080,da97f63843845f687d92854fc2b1b0498fc0cb2543e1e41022a77c4b3933deab,18484,93,13.047885
octavi_6042,untested-public,task081,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,3749,35,17.256297
octavi_6042,untested-public,task082,f5185afcc7d53962b11373341617929555563572d95dba938af0c9e973fee1a1,2282,18,14.347009
octavi_6042,untested-public,task083,3526144719574eafa02b2d1fa33a4be836ec96c267520ddd982697e447b8bc98,7454,1,17.504458
octavi_6042,untested-public,task084,ea383f3e12ab2a1d044f76364f30ec7e5febee3a710613e32791af72e77f10d9,1127799,257,9.714828
octavi_6042,untested-public,task085,0cf2b40dcd4fe9bb85de2e251fdca74496734e7c804425012cb1c1110d27505c,2547,20,13.363283
octavi_6042,untested-public,task086,ecd1d0f46753cac80ded0b43582907009763dc5ec56a57e2b0f2f35cb332e53d,4727,41,14.494576
octavi_6042,untested-public,task087,4e9d18bfbd60be2b9135e2cc459588db6a40bb878e5e16dd89651e3c3eb1cfea,474,2,19.070411
octavi_6042,untested-public,task088,3d5e5840dfdc9ebffa4cf4bf83a4bfe2d30edac84b88ab71ed3a6686d3987ec3,14980,58,13.468469
octavi_6042,untested-public,task089,0a479a40d999937f174a12134d5f78bb97ea8a6c108f09e8f44398fe6cbbcd40,17792,181,14.179382
octavi_6042,untested-public,task090,8032717a5846db3d60ae06a4fa0ff8af92327fd6b6102d39eff9ae246e44816a,19660,246,13.943507
octavi_6042,untested-public,task091,6c44a2a529dcac845b02796c463d82b35c8cc360fc72fc096564f3beeef63a30,4627,43,14.150760
