source,risk_label,task_id,sha256,file_size,nodes,local_score
octaviograu_6154,cherrypick-unsafe,task042,1ba57e7f6cc5a3f07ac1f33128b30167693eb14fd2f1686b7066300fd8e4497b,9668,52,15.940366
octaviograu_6154,cherrypick-unsafe,task043,16b05e98645b4d8da6cf555ed59cb2165317fe07248f91dd11f6747c0b38c22b,1966,9,16.129477
octaviograu_6154,cherrypick-unsafe,task044,03106f9bd502a04c7aa0acade34deaefdba103fbb21dcfc6ce3d362f74afc6fc,22434,311,14.251782
octaviograu_6154,cherrypick-unsafe,task045,43dc4b647f1683ea779fb39571b0cdbbad8fdcfd27c8713aaa44314281d7c131,1438,11,16.040431
octaviograu_6154,cherrypick-unsafe,task046,902e4e1129d73fe4576d763127cc56d0574b72b02f96a7f8e1fe84e5f6e0eaf0,8963,70,14.058960
octaviograu_6154,cherrypick-unsafe,task047,51caa99fe3ce9cb3e122d3a78119ede0e5beb0d8940d7959bece25bbe098d26a,3091,30,16.985664
octaviograu_6154,cherrypick-unsafe,task048,456cdd9f32b273f9915a3be57620ba30f852d5f6b5b881b5c312c6d2fa592407,5695,49,15.914430
octaviograu_6154,cherrypick-unsafe,task049,d742f5db9437894536afe2db2b87d8b3899117c92daf69927ab3854301d03698,3516,29,14.674879
octaviograu_6154,cherrypick-unsafe,task050,817ceed6eed8f8639a03c7d8fc0b41ca1fc3ca5ef6ff87cb970dba5a510cd4be,2540,19,15.752846
octaviograu_6154,cherrypick-unsafe,task051,86c7a1f4a9e1078f7176aac19c741859d1d72d5c8deeca5cd5fea73bfa951c7c,3365,57,13.587204
octaviograu_6154,cherrypick-unsafe,task052,a506cc379f43f613ec0879da1737edf134628e2d759c6d40c886ba16e97ef73b,1277,10,17.567516
octaviograu_6154,cherrypick-unsafe,task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,175,1,21.598803
octaviograu_6154,cherrypick-unsafe,task054,dabb6c274875e11a4007fc9fcdab263853a7354e782e41e67c61c48ace3def50,9661,117,12.938629
octaviograu_6154,cherrypick-unsafe,task055,194c76a7c1f255cb8d516d9ba1ac658ddc6f99f862956432b21d038cfd5f4c1c,21458,164,14.473627
octaviograu_6154,cherrypick-unsafe,task056,2306a2e7b1dd27af9e0ec17099ee8ed0568f6696623537f2599419319f7dd8cd,1515,7,18.672063
octaviograu_6154,cherrypick-unsafe,task057,7150afbd4d18997c52669fa85a7198e3dac5cb97d0c65ff9ed61a6896b62a038,1832,18,14.470333
octaviograu_6154,cherrypick-unsafe,task058,48cccc3699cb8685f22f16c7f24d7be617f9ee5928a2b4d7b1083db474b2c51a,27439,15,15.310882
octaviograu_6154,cherrypick-unsafe,task059,7b3cd67ffb0008721082c7e1497b195b3c91364ade4b206a8aca22caba8fd4c5,12715,20,14.740203
octaviograu_6154,cherrypick-unsafe,task060,ea4ad862446e19cbf2b7fecaf9051e6801c47b6c337bfc46e9530eddcebc41e9,3039,16,15.779610
octaviograu_6154,cherrypick-unsafe,task061,27289ea0d11a669fe413e1b05826321af3d079ce8a5555fa2610a93704612c2e,17030,9,15.152342
octaviograu_6154,cherrypick-unsafe,task062,d57d9a3dc711a3fa8561eb45e9b6fd261c7ab89c7fb30c7fca0080d49013c37c,22124,194,14.231747
octaviograu_6154,cherrypick-unsafe,task063,5c8811b2da8473750953376c6dbdd913b50bc29b96f9a16a09cf201df9a483ce,3709,34,14.666940
octaviograu_6154,cherrypick-unsafe,task064,e218f014e0f41fbf58f0a21d6c18ab365d24b6b93f7c8bb533378039b355a02c,7151,68,13.354705
octaviograu_6154,cherrypick-unsafe,task065,a191af856b41ba1a6079e9a8dc2ef26069291cfbf182a5623693579f33263b3c,2705,36,14.152315
octaviograu_6154,cherrypick-unsafe,task066,ca02396dbc645332397aa1bc0c091d79337d6c536f9f28b7e1e5e773053aa82e,170467,1531,12.758049
octaviograu_6154,cherrypick-unsafe,task067,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,892,7,19.247427
octaviograu_6154,cherrypick-unsafe,task068,fda283a479d2067e6eebc121aa1bc5b50af395b15a844c4a0742f3861f4d58f9,2335,23,15.204599
octaviograu_6154,cherrypick-unsafe,task069,fb91d90981c4b2168ade67173f5ea1376db182db9350dbdf930d3cb5026325da,32330,380,13.647595
octaviograu_6154,cherrypick-unsafe,task070,c09e95105072fd97b2106ecebc5fdb42c86bd41e9994b310781aa321351ec9d5,11844,71,13.900501
octaviograu_6154,cherrypick-unsafe,task071,2d696d39af281a3a0ca1582e413672e8ef38ef9f06d584f19844a45a6e2aa4a2,12082,49,13.226404
octaviograu_6154,cherrypick-unsafe,task072,188545c2133e8f311a556d754e465f755bfe94c8c5afb0495df211beb64cec49,1625,9,17.341772
octaviograu_6154,cherrypick-unsafe,task073,c974fda7fe3001de4bd2200b9065826ac44cf359fcb1949954b82f28411b5b63,3825,1,18.186555
octaviograu_6154,cherrypick-unsafe,task074,8194b1eba8a395566d686766b74869219cdfdaec5105dbad5f36b6ef32435be8,1824,18,15.009189
octaviograu_6154,cherrypick-unsafe,task075,e42e990b0d7538c360b7ec46a58a74ddd4c3f1dd5db79365dd85700a10e25015,7736,46,14.128218
octaviograu_6154,cherrypick-unsafe,task076,e531bfc095094257b88ba403a4f871efb84bd11fb41bc357efdb600a90a1dab8,64473,468,12.128894
octaviograu_6154,cherrypick-unsafe,task077,44ac6491fb79e23ba6eb2025a769ecb764389c5ca232c38b8f5f5cf4acbd3756,9812,71,12.854984
octaviograu_6154,cherrypick-unsafe,task078,1f42d518b8bed0679fb0978abe48fb184ffa7bd3bff6e10ee8bf6312e0d5faba,2588,22,15.335023
octaviograu_6154,cherrypick-unsafe,task079,4a4f6c8381af1ed692a1d279af1ebacd591befb7b825933520d08519653c1d13,2695,20,15.029649
octaviograu_6154,cherrypick-unsafe,task080,21bbfa72e213a9524143ab1082c5a2a48c9c086ef959163f0d6bee91bfc8388b,18484,93,13.048013
octaviograu_6154,cherrypick-unsafe,task081,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,3749,35,17.256297
octaviograu_6154,cherrypick-unsafe,task082,f5185afcc7d53962b11373341617929555563572d95dba938af0c9e973fee1a1,2282,18,14.347009
octaviograu_6154,cherrypick-unsafe,task083,3526144719574eafa02b2d1fa33a4be836ec96c267520ddd982697e447b8bc98,7454,1,17.504458
octaviograu_6154,cherrypick-unsafe,task084,5bd28bac4f427d16b03dfcb9d4ae68237ccb4bb720b534e0e14b2768658ee6a0,2820,23,15.121164
octaviograu_6154,cherrypick-unsafe,task085,0cf2b40dcd4fe9bb85de2e251fdca74496734e7c804425012cb1c1110d27505c,2547,20,13.363283
octaviograu_6154,cherrypick-unsafe,task086,97a70f0428f6e4dd43b2aa934d65321ae516fe94abaf7a1fac331dd55904390e,4804,42,14.656936
octaviograu_6154,cherrypick-unsafe,task087,4e9d18bfbd60be2b9135e2cc459588db6a40bb878e5e16dd89651e3c3eb1cfea,474,2,19.070411
octaviograu_6154,cherrypick-unsafe,task088,3d5e5840dfdc9ebffa4cf4bf83a4bfe2d30edac84b88ab71ed3a6686d3987ec3,14980,58,13.468469
octaviograu_6154,cherrypick-unsafe,task089,0a479a40d999937f174a12134d5f78bb97ea8a6c108f09e8f44398fe6cbbcd40,17792,181,14.179382
octaviograu_6154,cherrypick-unsafe,task090,8032717a5846db3d60ae06a4fa0ff8af92327fd6b6102d39eff9ae246e44816a,19660,246,13.943507
octaviograu_6154,cherrypick-unsafe,task091,6c44a2a529dcac845b02796c463d82b35c8cc360fc72fc096564f3beeef63a30,4627,43,14.150760
octaviograu_6154,cherrypick-unsafe,task092,31e6aa2df4e75b2376481ad479c8d107cebe1f6701ab925ab0272b482eb2f1a1,4299,42,13.071487
octaviograu_6154,cherrypick-unsafe,task093,cd70e073d1fdbf93b6402aa5356e8c8f09529cd3e6048fc5501c4e44bda9d3e5,6234,56,15.354118
octaviograu_6154,cherrypick-unsafe,task094,9877a08be2f356fe67653342ee102820efd26cbf7f80ad6490bd10011209d2ed,2950,25,15.745356
octaviograu_6154,cherrypick-unsafe,task095,eca4d38cd8606a930a722084789b856626fff5d4938c02546296c7f3cca109cf,3950,1,18.186555
octaviograu_6154,cherrypick-unsafe,task096,ce8db8caf6b5f6cc84108a5efe1947880da7d802796c33483bbc8132e48c4f3a,59457,457,12.825227
octaviograu_6154,cherrypick-unsafe,task097,f0d0ab9a04954377879cace70b48610fc891b8e6d5d68ee0d372dd78fe3f2268,2494,11,13.853482
octaviograu_6154,cherrypick-unsafe,task098,8fff41bf99869a80261fa1ec8461431ffa90e7a616d10c1582642af88b241cde,3836,1,18.186555
octaviograu_6154,cherrypick-unsafe,task099,1e320d88cf0eac19c3c20b9c005a4be28ac50d4bf0a39015404f9deb22a0c31e,19839,1,16.500971
octaviograu_6154,cherrypick-unsafe,task100,dceade053a44b3cc0ee481a2b109060da44f7e12dc34d583c301f1c9d6f84691,4954,28,16.214919
