source,risk_label,task_id,sha256,file_size,nodes,local_score
current_best_6122,lb-verified-current-best,task044,d7be538649eb0e8a61367a01fdbdf5446c5aa4d1cbb20ee5b0fd67c3b5abc7c9,148684,1054,10.317262
current_best_6122,lb-verified-current-best,task045,43dc4b647f1683ea779fb39571b0cdbbad8fdcfd27c8713aaa44314281d7c131,1438,11,16.040431
current_best_6122,lb-verified-current-best,task046,776e40c71ae05f511e59e234f5f52931c7f966c95b139fed312451a249a5f138,5299,73,14.582911
current_best_6122,lb-verified-current-best,task047,4d3bd9f3b89f4cbffbaa53b514aaf33d6a74318b8a86531c4f5d13411ed2546c,2151,33,16.492857
current_best_6122,lb-verified-current-best,task048,5acf8ce760fa9bf51285e7e58505b654e9443d4a70ff885dbf5ecb5fcf8e2723,5917,52,16.368586
current_best_6122,lb-verified-current-best,task049,a37e8cb1f6134fded24f6bb205efbdfe9c4b4f96f2b9195d9db3108653eadb0c,3516,29,14.613685
current_best_6122,lb-verified-current-best,task050,a43a64896f788cffb0e83ee188a7680ae80f27578b1bb607a36e32c9a39258ab,2006,21,15.843588
current_best_6122,lb-verified-current-best,task051,1fccc900903384492e825dfc74d6952195755b48411dd42c988cf3bb64ea878c,3372,58,13.866331
current_best_6122,lb-verified-current-best,task052,195c01dfdaae84b9a7a585295b8d44c1c3741ab522a7e9d472753ad121d8014d,986,11,17.886858
current_best_6122,lb-verified-current-best,task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,175,1,21.598803
current_best_6122,lb-verified-current-best,task054,a2e77f3a92ad3273e4de5710e47222a0da5f4948d3fcf9860f0675f88f35a8c6,9728,118,12.887930
current_best_6122,lb-verified-current-best,task055,92d4ce9193151139ddee430dfbe552e5a2aa41d1172f6842569d1e37ca664ded,13497,166,14.815477
current_best_6122,lb-verified-current-best,task056,2306a2e7b1dd27af9e0ec17099ee8ed0568f6696623537f2599419319f7dd8cd,1515,7,18.672063
current_best_6122,lb-verified-current-best,task057,fe71c735896585cb2e65fe6bfc6479a0d1ef8b1f8f2c7b7a1fe27b318ca72304,1880,18,14.246041
current_best_6122,lb-verified-current-best,task058,7a4b47e465104bb5b576167d51d642e539c3f9d5bafef55faac8d1987475593b,14221,16,15.313115
current_best_6122,lb-verified-current-best,task059,75ad1518669f36600bb72e0eeb074051895d744f7075f6835c090dcbb2a58abe,7062,21,15.076171
