source,risk_label,task_id,sha256,file_size,nodes,local_score
candidate_v4,lb-verified-v4-anchor,task001,e797ed891931604093a242891035430eac3d4815502c982c3a516c6f7db1b462,1137,14,17.041074
candidate_v4,lb-verified-v4-anchor,task002,4c3205c0141934e8750b205f87c8622ebfd80d2fce3c665797e3b1dd39c1d0b5,15506,95,13.510415
candidate_v4,lb-verified-v4-anchor,task003,155de80550da61e01bc0f6cc5de93f980b0473d08c29baf3bb04a2529f532c86,3120,44,15.883531
candidate_v4,lb-verified-v4-anchor,task004,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,4,14.084548
candidate_v4,lb-verified-v4-anchor,task005,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910,106,13.328150
candidate_v4,lb-verified-v4-anchor,task006,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,1124,12,17.603051
candidate_v4,lb-verified-v4-anchor,task007,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,1258,13,16.108351
candidate_v4,lb-verified-v4-anchor,task008,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667,78,14.944264
candidate_v4,lb-verified-v4-anchor,task009,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,22,13.694825
candidate_v4,lb-verified-v4-anchor,task010,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,4038,60,16.479612
candidate_v4,lb-verified-v4-anchor,task011,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,52,13.898855
candidate_v4,lb-verified-v4-anchor,task012,cf80b1fc317b51dbd8efa9eca069b2dccd1d58066ce1eb61dabe815a96124043,1406,16,15.468881
candidate_v4,lb-verified-v4-anchor,task013,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,91,13.331080
candidate_v4,lb-verified-v4-anchor,task014,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,5317,42,14.427427
candidate_v4,lb-verified-v4-anchor,task015,1bdf0a59883c98795d2d54262adc099a55470837e426c2ad60d49f27b069db45,3798,1,18.197605
candidate_v4,lb-verified-v4-anchor,task016,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158,1,22.697415
candidate_v4,lb-verified-v4-anchor,task017,b8dab2c7cafac5abd41ffcbbf3179866fe787a76272728d76c672ced0fe7e3ac,8529,66,14.532649
candidate_v4,lb-verified-v4-anchor,task018,c2e8e82b394406b4127ebd3b4e74460e0d34b69c8604a6ff6239f9a1608dd4f6,32157,219,11.323875
candidate_v4,lb-verified-v4-anchor,task019,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,2566,32,13.693533
candidate_v4,lb-verified-v4-anchor,task020,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,31378,245,13.590958
candidate_v4,lb-verified-v4-anchor,task021,d5e8b9b81a83f0b1e5a6f81304b1109485b1c925755846342775c896e62bf53e,30934,214,14.225073
candidate_v4,lb-verified-v4-anchor,task022,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,5021,67,14.542024
candidate_v4,lb-verified-v4-anchor,task023,381d1261e875c1cddec3fdc4fdca4eff331d3edad2677ad6ba7a97a0d16be814,33067,374,13.807115
candidate_v4,lb-verified-v4-anchor,task024,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,3233,27,15.886171
candidate_v4,lb-verified-v4-anchor,task025,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,13460,127,13.149938
candidate_v4,lb-verified-v4-anchor,task026,7b1677f67eb3a42b35d9d881fb5afa91618d944fae08e6ae12d4aeff0faa3601,1345,13,18.396056
candidate_v4,lb-verified-v4-anchor,task027,63da1fe45860bc98d31a806aeabad3d8d81890198997b6d66fe5343ab004d658,16205,25,14.486991
candidate_v4,lb-verified-v4-anchor,task028,5882fa43bf7f98d605e8098fc72437800e43705b6484f0675c3c72fae26e9e30,1867,13,15.896132
candidate_v4,lb-verified-v4-anchor,task029,25fd930dd65d6c39e3db30c12b581ca4e5dd8c8aea1ce2a272e893b8ea92fac5,13589,88,13.503438
candidate_v4,lb-verified-v4-anchor,task030,24c30df3c65fe9519cdd613707486e52f067c179db811879c4c774186aee3ab1,7091,64,15.772409
candidate_v4,lb-verified-v4-anchor,task031,b90c3fc6af40739352e474797fcd60c161bf6ecf6e4312dd7060ba0ff8383f7a,3417,26,15.164363
candidate_v4,lb-verified-v4-anchor,task032,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,2347,19,16.867000
