task_id,sha256,local_score,cost,local_pass,local_total,nodes,file_size,current_best_score,score_delta_vs_current_best_6122_onnx,path,error
task031,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,15.168223295018,18616,3,3,26,3417,15.164363114372,0.003860180646,submissions/nadeem_6252_onnx/task031.onnx,
task032,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,16.866999781416,3405,3,3,19,2347,16.866999781416,0.000000000000,submissions/nadeem_6252_onnx/task032.onnx,
task033,60ab4cceeab38a8952d0157e862ec2f374a51c7d70c00bdecdf9833a703455b5,14.081988539178,55161,3,3,16,1510,14.081988539178,0.000000000000,submissions/nadeem_6252_onnx/task033.onnx,
task034,7400b12dcb940f16d35589b5657e932c80b9aa92e8aed8c1f41a38cdff070b08,13.421324248377,106796,3,3,87,11293,13.421324248377,0.000000000000,submissions/nadeem_6252_onnx/task034.onnx,
task035,15a9c474e70c83253daaa3ff80387d3b29feadebd4ec8018b87fc277cf69f62a,15.360282699869,15363,3,3,38,3707,14.846026139758,0.514256560111,submissions/nadeem_6252_onnx/task035.onnx,
task036,8ad069570318576344e7e26773ca8c93f34a12bc4d8ac98bb1e9cefbccb0c819,13.710693199192,79962,3,3,56,5632,13.710330592673,0.000362606520,submissions/nadeem_6252_onnx/task036.onnx,
task037,e19669c0dec2c6b73986d1bd07ec5c19bb0bc452edb6cf3d006f85657ae46d12,13.937652078450,63726,3,3,27,20424,13.937652078450,0.000000000000,submissions/nadeem_6252_onnx/task037.onnx,
task038,a83d43302a9ef7e5b284cc1e38fc4ce8deedb152481de569220ea69b94855018,17.306974251582,2193,3,3,16,2357,17.306974251582,0.000000000000,submissions/nadeem_6252_onnx/task038.onnx,
task039,4e9c2db4798edb627e65601fb59b0b194a91b536746f1a97fab3a7317054d3be,16.041717189503,7772,3,3,14,1913,16.034026815790,0.007690373713,submissions/nadeem_6252_onnx/task039.onnx,
task040,f75c35724647ee41a691e8449bf8b38434ce9912519b1b33845a1eeb08cebff5,16.029440820491,7868,3,3,36,4167,15.777928705148,0.251512115343,submissions/nadeem_6252_onnx/task040.onnx,
task041,2ae5ccde56d9118ad549ef2a4383dfc5a74e4b8fcbbd3b3dc4d09c92209444a6,15.626775765122,11769,3,3,20,2110,15.299424541874,0.327351223249,submissions/nadeem_6252_onnx/task041.onnx,
task042,ef03e8f8fc1c3d00a4fb8e89f1dc70bc68cf2c46e4d75b1cf83777750aacf344,15.950063149517,8518,3,3,52,8543,15.255097946581,0.694965202936,submissions/nadeem_6252_onnx/task042.onnx,
task043,16b05e98645b4d8da6cf555ed59cb2165317fe07248f91dd11f6747c0b38c22b,16.129477454896,7119,3,3,9,1966,16.129477454896,0.000000000000,submissions/nadeem_6252_onnx/task043.onnx,
task044,03106f9bd502a04c7aa0acade34deaefdba103fbb21dcfc6ce3d362f74afc6fc,14.251782166203,46547,3,3,311,22434,10.317261651531,3.934520514672,submissions/nadeem_6252_onnx/task044.onnx,
task045,c2c9b466ef5bb57994383690491a94770ade65cb13d59fd093064984d2ca44b4,16.086988077527,7428,3,3,14,1041,16.040431346455,0.046556731072,submissions/nadeem_6252_onnx/task045.onnx,
task046,776e40c71ae05f511e59e234f5f52931c7f966c95b139fed312451a249a5f138,14.582910680751,33426,3,3,73,5299,14.582910680751,0.000000000000,submissions/nadeem_6252_onnx/task046.onnx,
task047,51caa99fe3ce9cb3e122d3a78119ede0e5beb0d8940d7959bece25bbe098d26a,16.985664262701,3024,3,3,30,3091,16.492857144437,0.492807118263,submissions/nadeem_6252_onnx/task047.onnx,
task048,9423c02033058a1188fae998353c04f6fbf4e48361dbee5461896ddd5d49ac28,16.367872270492,5609,3,3,52,4058,16.368585664494,-0.000713394002,submissions/nadeem_6252_onnx/task048.onnx,
task049,d742f5db9437894536afe2db2b87d8b3899117c92daf69927ab3854301d03698,14.674878758194,30489,3,3,29,3516,14.613685144125,0.061193614069,submissions/nadeem_6252_onnx/task049.onnx,
task050,817ceed6eed8f8639a03c7d8fc0b41ca1fc3ca5ef6ff87cb970dba5a510cd4be,15.752845654901,10375,3,3,19,2540,15.843587970049,-0.090742315148,submissions/nadeem_6252_onnx/task050.onnx,
task051,1fccc900903384492e825dfc74d6952195755b48411dd42c988cf3bb64ea878c,13.866331106970,68437,3,3,58,3372,13.866331106970,0.000000000000,submissions/nadeem_6252_onnx/task051.onnx,
task052,195c01dfdaae84b9a7a585295b8d44c1c3741ab522a7e9d472753ad121d8014d,17.886857891293,1228,3,3,11,986,17.886857891293,0.000000000000,submissions/nadeem_6252_onnx/task052.onnx,
task053,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,21.598802618338,30,3,3,1,175,21.598802618338,0.000000000000,submissions/nadeem_6252_onnx/task053.onnx,
task054,da0ea9c4a4e7de7d20e8867f669de546f57874c7e6fa83c850aad07683855ecc,13.077962750801,150548,3,3,107,5551,12.887930388961,0.190032361840,submissions/nadeem_6252_onnx/task054.onnx,
task055,92d4ce9193151139ddee430dfbe552e5a2aa41d1172f6842569d1e37ca664ded,14.815477417734,26490,3,3,166,13497,14.815477417734,0.000000000000,submissions/nadeem_6252_onnx/task055.onnx,
task056,9d687659145a785dd2d111cccd06fc2b802bcaaae0c2926b7d39a51406e1254b,19.638707834291,213,3,3,9,815,18.672063216271,0.966644618020,submissions/nadeem_6252_onnx/task056.onnx,
task057,c1e43aa7b8f024cb83ec8144fb50cf67b6ffe8126f4e6abf15f467ecf685b4ba,14.714520695541,29304,3,3,16,1616,14.246041056627,0.468479638914,submissions/nadeem_6252_onnx/task057.onnx,
task058,4e55a6bf22945253193de151ca9e08970485d28911fd21ae67ea20e7e71ece72,15.310386592771,16149,3,3,15,27439,15.313114938235,-0.002728345464,submissions/nadeem_6252_onnx/task058.onnx,
task059,75ad1518669f36600bb72e0eeb074051895d744f7075f6835c090dcbb2a58abe,15.076170749806,20411,3,3,21,7062,15.076170749806,0.000000000000,submissions/nadeem_6252_onnx/task059.onnx,
task060,03687375b7e8938e4f841fe856da30c83884468ff07c648d7021c6b6748784bd,16.372876749212,5581,3,3,20,2458,16.372876749212,0.000000000000,submissions/nadeem_6252_onnx/task060.onnx,
task061,27289ea0d11a669fe413e1b05826321af3d079ce8a5555fa2610a93704612c2e,15.152342332425,18914,3,3,9,17030,15.152342332425,0.000000000000,submissions/nadeem_6252_onnx/task061.onnx,
task062,0a2e640c0671d137a38ff13794cbaaf44ed872742a534c52771f99d309757432,14.670950637657,30609,3,3,217,14479,14.670950637657,0.000000000000,submissions/nadeem_6252_onnx/task062.onnx,
task063,5c8811b2da8473750953376c6dbdd913b50bc29b96f9a16a09cf201df9a483ce,14.666940264012,30732,3,3,34,3709,14.666940264012,0.000000000000,submissions/nadeem_6252_onnx/task063.onnx,
task064,e218f014e0f41fbf58f0a21d6c18ab365d24b6b93f7c8bb533378039b355a02c,13.354705067178,114153,3,3,68,7151,13.210837710263,0.143867356916,submissions/nadeem_6252_onnx/task064.onnx,
task065,6c2ce6ffae5840d17998c36ee6a5eb3f43eb8f79699c9bfb3b25a07562742370,14.533787213157,35109,3,3,37,1862,14.543288472281,-0.009501259124,submissions/nadeem_6252_onnx/task065.onnx,
task066,528e107ac7c8644aeb3a04cb1079719bfeeb25486d89be5e08a4e0b391fd4387,13.455004325905,103259,3,3,326,18653,11.878567055314,1.576437270591,submissions/nadeem_6252_onnx/task066.onnx,
task067,e823d84640b258f8322dde914f6bd992553a53aadd84d4685cd18da5f1be35e9,19.247427361174,315,3,3,7,892,19.247427361174,0.000000000000,submissions/nadeem_6252_onnx/task067.onnx,
task068,e490818d91a162474f9a9ed4c4d7a03517788fb18760e2fe6ca209f592660a82,15.559421304234,12589,3,3,24,1602,15.559421304234,0.000000000000,submissions/nadeem_6252_onnx/task068.onnx,
task069,bfa11e10a1b7754b93ff268324f4bdacfe5ca600d6eaecd3d7ecc21b94d2e194,13.658456151785,84250,3,3,380,30432,13.657032832840,0.001423318945,submissions/nadeem_6252_onnx/task069.onnx,
task070,c09e95105072fd97b2106ecebc5fdb42c86bd41e9994b310781aa321351ec9d5,13.900501252809,66138,3,3,71,11844,13.900501252809,0.000000000000,submissions/nadeem_6252_onnx/task070.onnx,
task071,2d696d39af281a3a0ca1582e413672e8ef38ef9f06d584f19844a45a6e2aa4a2,13.226404011825,129780,3,3,49,12082,13.226404011825,0.000000000000,submissions/nadeem_6252_onnx/task071.onnx,
task072,ce9138206dc060641e07a1ee45e8b332b0e4bcdfe0a06d625d8668c10d6d33e5,17.822981234090,1309,3,3,11,1289,17.801068759312,0.021912474778,submissions/nadeem_6252_onnx/task072.onnx,
task073,c974fda7fe3001de4bd2200b9065826ac44cf359fcb1949954b82f28411b5b63,18.186555400489,910,3,3,1,3825,18.186555400489,0.000000000000,submissions/nadeem_6252_onnx/task073.onnx,
task074,8194b1eba8a395566d686766b74869219cdfdaec5105dbad5f36b6ef32435be8,15.009188619292,21825,3,3,18,1824,15.009188619292,0.000000000000,submissions/nadeem_6252_onnx/task074.onnx,
task075,211a2ab0ea4cb67b9b8714d411d361e7eab6ec1192f0f74155bd9bd9c043c7d1,14.742796878158,28487,3,3,57,6812,14.742796878158,0.000000000000,submissions/nadeem_6252_onnx/task075.onnx,
task076,419bbf22d94034edf9dc1d2eed86480945abad297d08dbdaaaaf87ef5d7e2ef5,12.292867258634,330094,3,3,377,24619,10.834874662508,1.457992596126,submissions/nadeem_6252_onnx/task076.onnx,
task077,17691436bc7996bb9aa5b6b77bf34cfcc7674700abc8e4d69f7ec65ff4351709,13.030200472556,157913,3,3,68,7690,12.832912495372,0.197287977184,submissions/nadeem_6252_onnx/task077.onnx,
task078,c33e2e8bb8525ee7c4bfa0aca9ec69955cdd9a97837985fb38efdb309903089a,15.650245572241,11496,3,3,25,1974,15.650245572241,0.000000000000,submissions/nadeem_6252_onnx/task078.onnx,
task079,4a4f6c8381af1ed692a1d279af1ebacd591befb7b825933520d08519653c1d13,15.029648507210,21383,3,3,20,2695,14.875250665568,0.154397841643,submissions/nadeem_6252_onnx/task079.onnx,
task080,4b1cd7ffeaf85f936d62097216c4e457e14af1917b41aa32e4ee223cee3ff670,14.352624625201,42082,3,3,123,10636,13.047884557520,1.304740067681,submissions/nadeem_6252_onnx/task080.onnx,
task081,118dc8373587509f07d12aec64778af91edff7253f80e273a30e5863c7b8c91b,17.256296741826,2307,3,3,35,3749,17.256296741826,0.000000000000,submissions/nadeem_6252_onnx/task081.onnx,
task082,5f994c35d189c6fc8c7c8733202150cd5bd5bb9aa686ef9497ce5a384641de47,14.936138316403,23479,3,3,20,1645,14.936138316403,0.000000000000,submissions/nadeem_6252_onnx/task082.onnx,
task083,3526144719574eafa02b2d1fa33a4be836ec96c267520ddd982697e447b8bc98,17.504458056116,1800,3,3,1,7454,17.504458056116,0.000000000000,submissions/nadeem_6252_onnx/task083.onnx,
task084,5bd28bac4f427d16b03dfcb9d4ae68237ccb4bb720b534e0e14b2768658ee6a0,15.121163810905,19513,3,3,23,2820,15.121163810905,0.000000000000,submissions/nadeem_6252_onnx/task084.onnx,
