task_id,score,cost,memory,params,local_pass,local_total,nodes,file_size,path,error
63,14.666940264012474,30732,30700,32,1,1,34,3709,/tmp/surgical_onnx/submission/task063.onnx,
64,13.354705067178468,114153,114061,92,1,1,68,7151,/tmp/surgical_onnx/submission/task064.onnx,
65,14.534186050835478,35095,35032,63,1,1,37,1853,/tmp/surgical_onnx/submission/task065.onnx,
66,13.455382088297283,103220,103082,138,1,1,326,18257,/tmp/surgical_onnx/submission/task066.onnx,
67,19.247427361174367,315,282,33,1,1,7,892,/tmp/surgical_onnx/submission/task067.onnx,
68,15.55942130423374,12589,12562,27,1,1,24,1602,/tmp/surgical_onnx/submission/task068.onnx,
69,13.658456151785392,84250,82858,1392,1,1,380,30432,/tmp/surgical_onnx/submission/task069.onnx,
70,13.90050125280863,66138,66060,78,1,1,71,11844,/tmp/surgical_onnx/submission/task070.onnx,
71,13.22640401182484,129780,128850,930,1,1,49,12082,/tmp/surgical_onnx/submission/task071.onnx,
72,17.8229812340901,1309,1260,49,1,1,11,1289,/tmp/surgical_onnx/submission/task072.onnx,
73,18.186555400489105,910,0,910,1,1,1,3825,/tmp/surgical_onnx/submission/task073.onnx,
74,15.009188619292196,21825,21780,45,1,1,18,1824,/tmp/surgical_onnx/submission/task074.onnx,
75,14.742796878157792,28487,28430,57,1,1,57,6812,/tmp/surgical_onnx/submission/task075.onnx,
76,12.292867258634116,330094,329755,339,1,1,377,24619,/tmp/surgical_onnx/submission/task076.onnx,
77,13.032857358715912,157494,155700,1794,1,1,68,6842,/tmp/surgical_onnx/submission/task077.onnx,
78,15.65024557224114,11496,11460,36,1,1,25,1974,/tmp/surgical_onnx/submission/task078.onnx,
79,15.029648507210364,21383,21138,245,1,1,20,2695,/tmp/surgical_onnx/submission/task079.onnx,
80,14.353266435603462,42055,41838,217,1,1,123,10180,/tmp/surgical_onnx/submission/task080.onnx,
81,17.256296741826247,2307,2198,109,1,1,35,3749,/tmp/surgical_onnx/submission/task081.onnx,
82,14.936138316402742,23479,23400,79,1,1,20,1645,/tmp/surgical_onnx/submission/task082.onnx,
83,17.504458056115745,1800,0,1800,1,1,1,7454,/tmp/surgical_onnx/submission/task083.onnx,
84,15.121163810905001,19513,19400,113,1,1,23,2820,/tmp/surgical_onnx/submission/task084.onnx,
85,13.36328292042622,113178,113040,138,1,1,20,2547,/tmp/surgical_onnx/submission/task085.onnx,
86,14.83966336368449,25857,25632,225,1,1,42,3099,/tmp/surgical_onnx/submission/task086.onnx,
87,19.09191706183107,368,360,8,1,1,2,394,/tmp/surgical_onnx/submission/task087.onnx,
88,13.80499590787612,72766,72646,120,1,1,48,4099,/tmp/surgical_onnx/submission/task088.onnx,
89,14.179382068192274,50042,49943,99,1,1,181,17792,/tmp/surgical_onnx/submission/task089.onnx,
90,13.94350667496543,63354,63250,104,1,1,246,19660,/tmp/surgical_onnx/submission/task090.onnx,
91,14.151323325547068,51466,51388,78,1,1,43,4393,/tmp/surgical_onnx/submission/task091.onnx,
92,14.25734036914603,46289,46260,29,1,1,30,2297,/tmp/surgical_onnx/submission/task092.onnx,
93,15.354118052333183,15458,15400,58,1,1,56,6234,/tmp/surgical_onnx/submission/task093.onnx,
94,15.745355702467293,10453,10340,113,1,1,25,2950,/tmp/surgical_onnx/submission/task094.onnx,
95,18.186555400489105,910,0,910,1,1,1,3950,/tmp/surgical_onnx/submission/task095.onnx,
96,12.827184286371278,193458,192521,937,1,1,457,58657,/tmp/surgical_onnx/submission/task096.onnx,
97,14.070255820987903,55812,55802,10,1,1,14,904,/tmp/surgical_onnx/submission/task097.onnx,
98,18.186555400489105,910,0,910,1,1,1,3836,/tmp/surgical_onnx/submission/task098.onnx,
99,16.500970779211436,4910,0,4910,1,1,1,19839,/tmp/surgical_onnx/submission/task099.onnx,
100,16.21491936346016,6536,6493,43,1,1,28,4954,/tmp/surgical_onnx/submission/task100.onnx,
101,12.166837180696787,374431,374325,106,1,1,125,19538,/tmp/surgical_onnx/submission/task101.onnx,
102,15.55799250576873,12607,12075,532,1,1,48,6500,/tmp/surgical_onnx/submission/task102.onnx,
103,19.737309811095116,193,159,34,1,1,11,979,/tmp/surgical_onnx/submission/task103.onnx,
104,16.788788638206977,3682,2692,990,1,1,21,3505,/tmp/surgical_onnx/submission/task104.onnx,
105,16.138508135713085,7055,6987,68,1,1,63,8053,/tmp/surgical_onnx/submission/task105.onnx,
106,17.940382371708615,1164,1039,125,1,1,13,2939,/tmp/surgical_onnx/submission/task106.onnx,
107,13.799992367549814,73131,59450,13681,1,1,52,31191,/tmp/surgical_onnx/submission/task107.onnx,
108,17.504458056115745,1800,0,1800,1,1,1,7454,/tmp/surgical_onnx/submission/task108.onnx,
109,13.539652865248629,94878,93924,954,1,1,39,5257,/tmp/surgical_onnx/submission/task109.onnx,
110,13.40677647534595,108361,107959,402,1,1,176,21383,/tmp/surgical_onnx/submission/task110.onnx,
111,18.319145321209785,797,772,25,1,1,15,1499,/tmp/surgical_onnx/submission/task111.onnx,
112,14.010141445218116,59270,59164,106,1,1,44,3987,/tmp/surgical_onnx/submission/task112.onnx,
113,21.598802618337846,30,0,30,1,1,1,499,/tmp/surgical_onnx/submission/task113.onnx,
114,17.869101169703654,1250,1091,159,1,1,26,4699,/tmp/surgical_onnx/submission/task114.onnx,
115,16.67663430556392,4119,4042,77,1,1,34,5064,/tmp/surgical_onnx/submission/task115.onnx,
116,21.598802618337846,30,0,30,1,1,1,479,/tmp/surgical_onnx/submission/task116.onnx,
117,15.202317506360849,17992,17835,157,1,1,74,10290,/tmp/surgical_onnx/submission/task117.onnx,
118,13.336192047071197,116286,116144,142,1,1,67,4432,/tmp/surgical_onnx/submission/task118.onnx,
119,15.280435285624801,16640,16539,101,1,1,140,8400,/tmp/surgical_onnx/submission/task119.onnx,
120,18.186555400489105,910,0,910,1,1,1,3836,/tmp/surgical_onnx/submission/task120.onnx,
121,16.215837777729526,6530,6484,46,1,1,24,3339,/tmp/surgical_onnx/submission/task121.onnx,
122,17.17196196787417,2510,0,2510,1,1,1,10236,/tmp/surgical_onnx/submission/task122.onnx,
123,16.630379173050898,4314,3365,949,1,1,13,8997,/tmp/surgical_onnx/submission/task123.onnx,
124,15.634966238347337,11673,11320,353,1,1,52,2840,/tmp/surgical_onnx/submission/task124.onnx,
125,15.495722161409528,13417,13170,247,1,1,28,3032,/tmp/surgical_onnx/submission/task125.onnx,
126,13.636839844664504,86091,86044,47,1,1,29,2765,/tmp/surgical_onnx/submission/task126.onnx,
127,18.197605236675688,900,0,900,1,1,1,3772,/tmp/surgical_onnx/submission/task127.onnx,
128,13.538115229744358,95024,94940,84,1,1,28,3217,/tmp/surgical_onnx/submission/task128.onnx,
129,18.258299305347947,847,818,29,1,1,7,726,/tmp/surgical_onnx/submission/task129.onnx,
130,15.322911291498754,15948,15840,108,1,1,10,1293,/tmp/surgical_onnx/submission/task130.onnx,
131,14.295632567101045,44550,43599,951,1,1,103,7860,/tmp/surgical_onnx/submission/task131.onnx,
132,14.709279200950512,29458,29394,64,1,1,38,2585,/tmp/surgical_onnx/submission/task132.onnx,
133,12.810626004092878,196688,196262,426,1,1,122,9879,/tmp/surgical_onnx/submission/task133.onnx,
134,15.576162453761413,12380,12300,80,1,1,75,7045,/tmp/surgical_onnx/submission/task134.onnx,
135,19.113895968549844,360,360,0,1,1,2,251,/tmp/surgical_onnx/submission/task135.onnx,
136,16.515950027177016,4837,4700,137,1,1,25,2845,/tmp/surgical_onnx/submission/task136.onnx,
137,13.809044440650876,72472,71506,966,1,1,36,3864,/tmp/surgical_onnx/submission/task137.onnx,
138,14.211361567031112,48467,48342,125,1,1,99,5784,/tmp/surgical_onnx/submission/task138.onnx,
139,16.803012072741105,3630,3456,174,1,1,33,3865,/tmp/surgical_onnx/submission/task139.onnx,
140,19.09191706183107,368,360,8,1,1,2,394,/tmp/surgical_onnx/submission/task140.onnx,
141,15.33103297180142,15819,15750,69,1,1,21,2345,/tmp/surgical_onnx/submission/task141.onnx,
142,17.504458056115745,1800,0,1800,1,1,1,7454,/tmp/surgical_onnx/submission/task142.onnx,
143,15.12486048297936,19441,19384,57,1,1,24,2144,/tmp/surgical_onnx/submission/task143.onnx,
144,18.35231162643667,771,736,35,1,1,13,1320,/tmp/surgical_onnx/submission/task144.onnx,
145,13.796906788126128,73357,72424,933,1,1,325,31434,/tmp/surgical_onnx/submission/task145.onnx,
146,17.27865138738205,2256,2232,24,1,1,29,1894,/tmp/surgical_onnx/submission/task146.onnx,
147,18.186555400489105,910,0,910,1,1,1,3825,/tmp/surgical_onnx/submission/task147.onnx,
148,14.99988495388028,22029,21676,353,1,1,110,6750,/tmp/surgical_onnx/submission/task148.onnx,
149,19.54041448585584,235,144,91,1,1,4,764,/tmp/surgical_onnx/submission/task149.onnx,
150,18.078341815848873,1014,978,36,1,1,11,1299,/tmp/surgical_onnx/submission/task150.onnx,
151,18.186555400489105,910,0,910,1,1,1,3880,/tmp/surgical_onnx/submission/task151.onnx,
152,17.504458056115745,1800,0,1800,1,1,1,7454,/tmp/surgical_onnx/submission/task152.onnx,
153,15.018672163345535,21619,21429,190,1,1,106,8307,/tmp/surgical_onnx/submission/task153.onnx,
154,14.27290734254795,45574,44584,990,1,1,44,8020,/tmp/surgical_onnx/submission/task154.onnx,
155,18.078341815848873,1014,978,36,1,1,11,1299,/tmp/surgical_onnx/submission/task155.onnx,
156,14.81313964660019,26552,24653,1899,1,1,375,49215,/tmp/surgical_onnx/submission/task156.onnx,
157,13.654428664701939,84590,83789,801,1,1,3251,153044,/tmp/surgical_onnx/submission/task157.onnx,
158,12.8281772426697,193266,192900,366,1,1,294,24203,/tmp/surgical_onnx/submission/task158.onnx,
159,13.597994922615115,89501,85396,4105,1,1,57,12966,/tmp/surgical_onnx/submission/task159.onnx,
160,16.56923653658215,4586,4520,66,1,1,19,2189,/tmp/surgical_onnx/submission/task160.onnx,
161,13.923426777221719,64639,64611,28,1,1,39,4323,/tmp/surgical_onnx/submission/task161.onnx,
162,13.944501582071068,63291,63248,43,1,1,19,2268,/tmp/surgical_onnx/submission/task162.onnx,
163,14.910655480935679,24085,22430,1655,1,1,68,9085,/tmp/surgical_onnx/submission/task163.onnx,
164,21.598802618337846,30,0,30,1,1,1,479,/tmp/surgical_onnx/submission/task164.onnx,
165,13.87976163077872,67524,66530,994,1,1,25,4910,/tmp/surgical_onnx/submission/task165.onnx,
166,14.881844714630706,24789,24752,37,1,1,11,1318,/tmp/surgical_onnx/submission/task166.onnx,
167,18.294360905139996,817,523,294,1,1,8,2375,/tmp/surgical_onnx/submission/task167.onnx,
168,15.076562772156251,20403,20218,185,1,1,45,4620,/tmp/surgical_onnx/submission/task168.onnx,
169,14.929769949800432,23629,22973,656,1,1,168,20803,/tmp/surgical_onnx/submission/task169.onnx,
170,13.728331141770909,78564,78315,249,1,1,681,50577,/tmp/surgical_onnx/submission/task170.onnx,
171,18.186555400489105,910,0,910,1,1,1,3825,/tmp/surgical_onnx/submission/task171.onnx,
172,21.598802618337846,30,0,30,1,1,1,479,/tmp/surgical_onnx/submission/task172.onnx,
173,12.926071138839562,175243,175026,217,1,1,68,10061,/tmp/surgical_onnx/submission/task173.onnx,
174,14.140635684557754,52019,51945,74,1,1,790,61839,/tmp/surgical_onnx/submission/task174.onnx,
175,13.54026436354389,94820,92072,2748,1,1,23,6889,/tmp/surgical_onnx/submission/task175.onnx,
