source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
6,ex6,task133_zero_pad_top_left,True,False,ok,"(27, 21)","(27, 21)","(27, 21)",0,v4_plus9_compiler
6,ex6,task133_zero_pad_bottom_right,True,False,ok,"(27, 21)","(27, 21)","(27, 21)",0,v4_plus9_compiler
7,ex7,original,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
7,ex7,task133_color_bijection,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
7,ex7,task133_transpose,True,False,ok,"(21, 29)","(21, 29)","(21, 29)",0,v4_plus9_compiler
7,ex7,task133_mirror_lr,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
7,ex7,task133_mirror_ud,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
7,ex7,task133_zero_pad_top_left,True,False,ok,"(30, 22)","(30, 22)","(30, 22)",0,v4_plus9_compiler
7,ex7,task133_zero_pad_bottom_right,True,False,ok,"(30, 22)","(30, 22)","(30, 22)",0,v4_plus9_compiler
8,ex8,original,True,False,ok,"(25, 26)","(25, 26)","(25, 26)",0,v4_plus9_compiler
8,ex8,task133_color_bijection,True,False,ok,"(25, 26)","(25, 26)","(25, 26)",0,v4_plus9_compiler
8,ex8,task133_transpose,True,False,ok,"(26, 25)","(26, 25)","(26, 25)",0,v4_plus9_compiler
8,ex8,task133_mirror_lr,True,False,ok,"(25, 26)","(25, 26)","(25, 26)",0,v4_plus9_compiler
8,ex8,task133_mirror_ud,True,False,ok,"(25, 26)","(25, 26)","(25, 26)",0,v4_plus9_compiler
8,ex8,task133_zero_pad_top_left,True,False,ok,"(26, 27)","(26, 27)","(26, 27)",0,v4_plus9_compiler
8,ex8,task133_zero_pad_bottom_right,True,False,ok,"(26, 27)","(26, 27)","(26, 27)",0,v4_plus9_compiler
9,ex9,original,True,False,ok,"(30, 26)","(30, 26)","(30, 26)",0,v4_plus9_compiler
9,ex9,task133_color_bijection,True,False,ok,"(30, 26)","(30, 26)","(30, 26)",0,v4_plus9_compiler
9,ex9,task133_transpose,True,False,ok,"(26, 30)","(26, 30)","(26, 30)",0,v4_plus9_compiler
9,ex9,task133_mirror_lr,True,False,ok,"(30, 26)","(30, 26)","(30, 26)",0,v4_plus9_compiler
9,ex9,task133_mirror_ud,True,False,ok,"(30, 26)","(30, 26)","(30, 26)",0,v4_plus9_compiler
9,ex9,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(31, 27)>(30, 30)","(31, 27)","(31, 27)",,,
9,ex9,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(31, 27)>(30, 30)","(31, 27)","(31, 27)",,,
10,ex10,original,True,False,ok,"(30, 21)","(30, 21)","(30, 21)",0,v4_plus9_compiler
10,ex10,task133_color_bijection,True,False,ok,"(30, 21)","(30, 21)","(30, 21)",0,v4_plus9_compiler
10,ex10,task133_transpose,True,False,ok,"(21, 30)","(21, 30)","(21, 30)",0,v4_plus9_compiler
10,ex10,task133_mirror_lr,True,False,ok,"(30, 21)","(30, 21)","(30, 21)",0,v4_plus9_compiler
10,ex10,task133_mirror_ud,True,False,ok,"(30, 21)","(30, 21)","(30, 21)",0,v4_plus9_compiler
10,ex10,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(31, 22)>(30, 30)","(31, 22)","(31, 22)",,,
10,ex10,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(31, 22)>(30, 30)","(31, 22)","(31, 22)",,,
