check,split,index,variant,eligible,exact,pixel_errors,false_positive_3,false_negative_3,details
far_additive_foreground_noise,arc-gen,99,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,99,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,99,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,100,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,100,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,100,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,101,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,101,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,101,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,102,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,102,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,102,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,103,n=1,1,0,16,0,16,
far_additive_foreground_noise,arc-gen,103,n=2,1,0,16,0,16,
far_additive_foreground_noise,arc-gen,103,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,104,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,104,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,104,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,105,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,105,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,105,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,106,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,106,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,106,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,107,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,107,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,107,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,108,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,108,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,108,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,109,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,109,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,109,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,110,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,110,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,110,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,111,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,111,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,111,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,112,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,112,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,112,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,113,n=1,1,0,18,0,18,
far_additive_foreground_noise,arc-gen,113,n=2,1,0,18,0,18,
far_additive_foreground_noise,arc-gen,113,n=3,1,0,18,0,18,
far_additive_foreground_noise,arc-gen,114,n=1,1,0,72,0,72,
far_additive_foreground_noise,arc-gen,114,n=2,1,0,72,0,72,
far_additive_foreground_noise,arc-gen,114,n=3,1,0,72,0,72,
far_additive_foreground_noise,arc-gen,115,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,115,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,115,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,116,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,116,n=2,1,1,0,0,0,
