task_id,v3_train_pass,v3_test_pass,v3_argen_pass,v3_total_pass_ratio,v3_status,v3_cost,v3_score,ours_total_pass_ratio,ours_status,ours_cost,ours_score,risk_label
task158,3/3,1/1,262/262,266/266,ok,191304,12.8384,266/266,ok,3364477,9.9712,ok
task160,2/2,1/1,262/262,265/265,ok,4586,16.5692,265/265,ok,11195,15.6768,ok
task161,3/3,1/1,262/262,266/266,ok,64639,13.9234,266/266,ok,136708,13.1744,ok
task168,2/2,1/1,262/262,265/265,ok,20403,15.0766,265/265,ok,20503,15.0717,ok
task169,3/3,1/1,262/262,266/266,ok,23629,14.9298,266/266,ok,34489,14.5516,ok
task170,3/3,1/1,262/262,266/266,ok,78564,13.7283,266/266,ok,82130,13.6839,ok
task173,3/3,1/1,262/262,266/266,ok,175243,12.9261,266/266,ok,181492,12.8910,ok
task174,3/3,1/1,262/262,266/266,ok,52019,14.1406,266/266,ok,53099,14.1201,ok
task177,3/3,1/1,261/261,265/265,ok,59826,14.0008,265/265,ok,74705,13.7787,ok
task182,4/4,1/1,262/262,267/267,ok,47587,14.2297,267/267,ok,765146,11.4522,ok
task184,3/3,1/1,165/165,169/169,ok,38855,14.4324,169/169,ok,44248,14.3024,ok
task185,4/4,1/1,262/262,267/267,ok,59584,14.0049,267/267,ok,75838,13.7636,ok
task186,10/10,2/2,255/255,267/267,ok,360,19.1139,267/267,ok,626,18.5606,ok
task187,3/3,1/1,262/262,266/266,ok,105313,13.4353,266/266,ok,106213,13.4268,ok
task189,3/3,1/1,262/262,266/266,ok,24649,14.8875,266/266,ok,24684,14.8861,ok
task191,4/4,1/1,222/262,227/267,ok,85919,13.6388,267/267,ok,709342,11.5279,REGRESSION_VS_OURS
task192,2/2,1/1,262/262,265/265,ok,51968,14.1416,265/265,ok,54535,14.0934,ok
task200,3/3,1/1,80/80,84/84,ok,8295,15.9766,84/84,ok,10511,15.7398,ok
task201,4/4,1/1,261/261,266/266,ok,92700,13.5629,266/266,ok,93480,13.5545,ok
task204,5/5,1/1,262/262,268/268,ok,118846,13.3144,268/268,ok,165194,12.9851,ok
task205,3/3,1/1,262/262,266/266,ok,112313,13.3710,266/266,ok,332837,12.2846,ok
task206,3/3,1/1,262/262,266/266,ok,61387,13.9750,266/266,ok,66480,13.8953,ok
task209,3/3,1/1,262/262,266/266,ok,122356,13.2853,266/266,ok,2053296,10.4650,ok
task212,2/2,1/1,262/262,265/265,ok,9970,15.7927,265/265,ok,10069,15.7828,ok
task213,3/3,1/1,261/261,265/265,ok,50117,14.1779,265/265,ok,52361,14.1341,ok
task215,2/2,1/1,262/262,265/265,ok,38094,14.4522,265/265,ok,43419,14.3213,ok
task216,3/3,1/1,262/262,266/266,ok,103812,13.4497,266/266,ok,104412,13.4439,ok
task217,3/3,1/1,262/262,266/266,ok,17924,15.2061,266/266,ok,77061,13.7476,ok
task219,3/3,1/1,261/261,265/265,ok,82452,13.6800,265/265,ok,15842765,8.4218,ok
task225,3/3,1/1,261/261,265/265,ok,11078,15.6873,265/265,ok,11240,15.6728,ok
task233,3/3,1/1,262/262,266/266,ok,1456755,10.8083,182/266,ok,3682865,9.8808,ok
task234,3/3,1/1,262/262,266/266,ok,81703,13.6892,266/266,ok,139937,13.1511,ok
task236,4/4,1/1,262/262,267/267,ok,641,18.5370,267/267,ok,722,18.4180,ok
task240,3/3,1/1,262/262,266/266,ok,27847,14.7655,266/266,ok,47734,14.2266,ok
task242,3/3,1/1,262/262,266/266,ok,20119,15.0906,266/266,ok,24430,14.8964,ok
task243,3/3,1/1,261/261,265/265,ok,108967,13.4012,265/265,ok,218713,12.7045,ok
task244,3/3,1/1,262/262,266/266,ok,31770,14.6337,266/266,ok,32612,14.6076,ok
task245,4/4,1/1,262/262,267/267,ok,29012,14.7245,267/267,ok,89261,13.6007,ok
