split,index,encodable,matches_target,matches_bounded_rectangles,input_shape,output_shape
arc-gen,45,1,1,1,10x18,10x9
arc-gen,46,1,1,1,12x22,12x11
arc-gen,47,1,1,1,22x13,11x13
arc-gen,48,1,1,1,15x30,15x15
arc-gen,49,1,1,1,14x28,14x14
arc-gen,50,1,1,1,22x13,11x13
arc-gen,51,1,1,1,12x24,12x12
arc-gen,52,1,1,1,10x18,10x9
arc-gen,53,1,1,1,26x12,13x12
arc-gen,54,1,1,1,10x22,10x11
arc-gen,55,1,1,1,26x12,13x12
arc-gen,56,1,1,1,15x26,15x13
arc-gen,57,1,1,1,10x24,10x12
arc-gen,58,1,1,1,26x13,13x13
arc-gen,59,1,1,1,20x9,10x9
arc-gen,60,1,1,1,30x15,15x15
arc-gen,61,1,1,1,22x10,11x10
arc-gen,62,1,1,1,14x30,14x15
arc-gen,63,1,1,1,26x11,13x11
arc-gen,64,1,1,1,22x13,11x13
arc-gen,65,1,1,1,12x26,12x13
arc-gen,66,1,1,1,30x16,15x16
arc-gen,67,1,1,1,26x15,13x15
arc-gen,68,1,1,1,20x10,10x10
arc-gen,69,1,1,1,14x28,14x14
arc-gen,70,1,1,1,20x8,10x8
arc-gen,71,1,1,1,10x24,10x12
arc-gen,72,1,1,1,22x13,11x13
arc-gen,73,1,1,1,26x12,13x12
arc-gen,74,1,1,1,12x26,12x13
arc-gen,75,1,1,1,12x28,12x14
arc-gen,76,1,1,1,10x24,10x12
arc-gen,77,1,1,1,11x26,11x13
arc-gen,78,1,1,1,22x13,11x13
arc-gen,79,1,1,1,26x15,13x15
arc-gen,80,1,1,1,20x9,10x9
arc-gen,81,1,1,1,12x22,12x11
arc-gen,82,1,1,1,13x30,13x15
arc-gen,83,1,1,1,20x9,10x9
arc-gen,84,1,1,1,12x26,12x13
arc-gen,85,1,1,1,20x11,10x11
arc-gen,86,1,1,1,10x20,10x10
arc-gen,87,1,1,1,11x20,11x10
arc-gen,88,1,1,1,12x28,12x14
arc-gen,89,1,1,1,14x26,14x13
arc-gen,90,1,1,1,22x12,11x12
arc-gen,91,1,1,1,26x14,13x14
arc-gen,92,1,1,1,22x11,11x11
arc-gen,93,1,1,1,28x15,14x15
arc-gen,94,1,1,1,11x18,11x9
arc-gen,95,1,1,1,26x14,13x14
arc-gen,96,1,1,1,30x16,15x16
arc-gen,97,1,1,1,24x14,12x14
arc-gen,98,1,1,1,11x18,11x9
arc-gen,99,1,1,1,20x12,10x12
arc-gen,100,1,1,1,20x9,10x9
arc-gen,101,1,1,1,22x12,11x12
arc-gen,102,1,1,1,22x11,11x11
arc-gen,103,0,,,15x32,15x16
arc-gen,104,1,1,1,13x22,13x11
arc-gen,105,1,1,1,20x10,10x10
arc-gen,106,1,1,1,13x26,13x13
arc-gen,107,1,1,1,14x24,14x12
arc-gen,108,1,1,1,22x9,11x9
arc-gen,109,1,1,1,28x14,14x14
arc-gen,110,1,1,1,28x16,14x16
arc-gen,111,1,1,1,30x14,15x14
arc-gen,112,1,1,1,28x16,14x16
arc-gen,113,1,1,1,13x30,13x15
