task_id,rule,kept,applied,note,current_cost,candidate_cost,cost_save,current_score,candidate_score,score_gain,current_local,candidate_local,candidate_memory,candidate_params,candidate_nodes,candidate_file_size,equiv_train,equiv_test,equiv_arc_gen,error
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74933,74888,45,13.775650340074908,13.77625105694842,0.0006007168735120416,3/3,3/3,74087,801,2418,117448,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74933,74888,45,13.775650340074908,13.77625105694842,0.0006007168735120416,3/3,3/3,74087,801,2418,117448,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74933,74888,45,13.775650340074908,13.77625105694842,0.0006007168735120416,3/3,3/3,74087,801,2418,117448,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74933,74888,45,13.775650340074908,13.77625105694842,0.0006007168735120416,3/3,3/3,74087,801,2418,117448,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74933,74888,45,13.775650340074908,13.77625105694842,0.0006007168735120416,3/3,3/3,74087,801,2418,117448,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,74873,74828,45,13.776451376124308,13.777052574531204,0.0006011984068958753,3/3,3/3,74027,801,2417,117410,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74873,74828,45,13.776451376124308,13.777052574531204,0.0006011984068958753,3/3,3/3,74027,801,2417,117410,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74873,74828,45,13.776451376124308,13.777052574531204,0.0006011984068958753,3/3,3/3,74027,801,2417,117410,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74873,74828,45,13.776451376124308,13.777052574531204,0.0006011984068958753,3/3,3/3,74027,801,2417,117410,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74873,74828,45,13.776451376124308,13.777052574531204,0.0006011984068958753,3/3,3/3,74027,801,2417,117410,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,74828,74783,45,13.777052574531204,13.777654134595064,0.0006015600638598073,3/3,3/3,73982,801,2416,117375,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74828,74783,45,13.777052574531204,13.777654134595064,0.0006015600638598073,3/3,3/3,73982,801,2416,117375,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74828,74783,45,13.777052574531204,13.777654134595064,0.0006015600638598073,3/3,3/3,73982,801,2416,117375,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74828,74783,45,13.777052574531204,13.777654134595064,0.0006015600638598073,3/3,3/3,73982,801,2416,117375,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,74783,74738,45,13.777654134595064,13.778256056751266,0.0006019221562016952,3/3,3/3,73937,801,2415,117340,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74783,74738,45,13.777654134595064,13.778256056751266,0.0006019221562016952,3/3,3/3,73937,801,2415,117340,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74783,74738,45,13.777654134595064,13.778256056751266,0.0006019221562016952,3/3,3/3,73937,801,2415,117340,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,74738,74693,45,13.778256056751266,13.778858341435972,0.0006022846847066887,3/3,3/3,73892,801,2414,117305,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,False,remove bool->FLOAT16->bool outer Cast,74738,74693,45,13.778256056751266,13.778858341435972,0.0006022846847066887,3/3,3/3,73892,801,2414,117305,2/2,1/1,262/262,
157,exact Cast-chain collapse,True,True,remove bool->FLOAT16->bool outer Cast,74693,74648,45,13.778858341435972,13.779460989086141,0.0006026476501688194,3/3,3/3,73847,801,2413,117270,2/2,1/1,262/262,
286,exact Cast-chain collapse,False,False,compose bool->FLOAT16 Cast,160931,160931,0,13.011269019324953,13.011269019324953,0.0,3/3,3/3,159629,1302,168,13636,,,,no n=3 score improvement
295,ReduceSum-axis fusion/collapse,True,True,"fuse keepdims=1 axes (1,)+(3,) -> (1, 3)",12226,12190,36,15.58867988941133,15.591628777524683,0.002948888113353476,3/3,3/3,12125,65,22,1889,5/5,1/1,262/262,
