task_id,source,delta,v4_score,src_score,isolated_src_pass,isolated_v4_pass,decoded_match,struct_risk,struct_flags,src_path,sha256
task018,biohack44_super,+0.6026,11.3239,11.9264,0/266,0/266,NA,1.0,has_lookup_ops;fp16,submissions/biohack44_super_onnx/task018.onnx,5f2d48dfb685523b95f6728e7537afda1089560ef90a4040dd4d493d426b24fc
task249,afr1ste_5689,+0.1542,15.7410,15.8951,265/265,265/265,True,0.5,fp16,submissions/afr1ste_5689_onnx/task249.onnx,dde855774ef1a32a1960a4696e54abf617eebe91340c70355f303440b7758f6b
