solver,split,index,exact,pixel_errors,false_positive_3,false_negative_3,target_3,predicted_3,rectangles
legacy_stub,arc-gen,25,0,165,0,165,165,0,0
core8_upper_bound,arc-gen,25,0,15,15,0,165,180,0
v2_train_only_rect_corridor,arc-gen,25,1,0,0,0,165,165,2
legacy_stub,arc-gen,26,0,223,0,223,223,0,0
core8_upper_bound,arc-gen,26,0,21,21,0,223,244,0
v2_train_only_rect_corridor,arc-gen,26,1,0,0,0,223,223,3
legacy_stub,arc-gen,27,0,132,0,132,132,0,0
core8_upper_bound,arc-gen,27,0,15,15,0,132,147,0
v2_train_only_rect_corridor,arc-gen,27,1,0,0,0,132,132,2
legacy_stub,arc-gen,28,0,224,0,224,224,0,0
core8_upper_bound,arc-gen,28,0,20,20,0,224,244,0
v2_train_only_rect_corridor,arc-gen,28,1,0,0,0,224,224,2
legacy_stub,arc-gen,29,0,208,0,208,208,0,0
core8_upper_bound,arc-gen,29,0,32,32,0,208,240,0
v2_train_only_rect_corridor,arc-gen,29,0,24,0,24,208,184,2
legacy_stub,arc-gen,30,0,198,0,198,198,0,0
core8_upper_bound,arc-gen,30,0,24,24,0,198,222,0
v2_train_only_rect_corridor,arc-gen,30,1,0,0,0,198,198,2
legacy_stub,arc-gen,31,0,219,0,219,219,0,0
core8_upper_bound,arc-gen,31,0,17,17,0,219,236,0
v2_train_only_rect_corridor,arc-gen,31,1,0,0,0,219,219,3
legacy_stub,arc-gen,32,0,168,0,168,168,0,0
core8_upper_bound,arc-gen,32,0,15,15,0,168,183,0
v2_train_only_rect_corridor,arc-gen,32,1,0,0,0,168,168,4
legacy_stub,arc-gen,33,0,238,0,238,238,0,0
core8_upper_bound,arc-gen,33,0,17,17,0,238,255,0
v2_train_only_rect_corridor,arc-gen,33,1,0,0,0,238,238,3
legacy_stub,arc-gen,34,0,322,0,322,322,0,0
core8_upper_bound,arc-gen,34,0,17,17,0,322,339,0
v2_train_only_rect_corridor,arc-gen,34,1,0,0,0,322,322,4
legacy_stub,arc-gen,35,0,216,0,216,216,0,0
core8_upper_bound,arc-gen,35,0,9,9,0,216,225,0
v2_train_only_rect_corridor,arc-gen,35,1,0,0,0,216,216,3
legacy_stub,arc-gen,36,0,188,0,188,188,0,0
core8_upper_bound,arc-gen,36,0,20,20,0,188,208,0
v2_train_only_rect_corridor,arc-gen,36,1,0,0,0,188,188,2
legacy_stub,arc-gen,37,0,190,0,190,190,0,0
core8_upper_bound,arc-gen,37,0,11,11,0,190,201,0
v2_train_only_rect_corridor,arc-gen,37,0,72,0,72,190,118,2
legacy_stub,arc-gen,38,0,197,0,197,197,0,0
core8_upper_bound,arc-gen,38,0,22,22,0,197,219,0
v2_train_only_rect_corridor,arc-gen,38,1,0,0,0,197,197,2
legacy_stub,arc-gen,39,0,228,0,228,228,0,0
core8_upper_bound,arc-gen,39,0,14,14,0,228,242,0
v2_train_only_rect_corridor,arc-gen,39,1,0,0,0,228,228,4
legacy_stub,arc-gen,40,0,210,0,210,210,0,0
