task_id,pass,total,score,cost,anchor_score,anchor_cost,delta,error,path
50,271,271,15.752845654901101,10375,15.843587970049374,9475,-0.09074231514827247,,/tmp/ng_seddik_precision/submission/task050.onnx
51,265,265,13.866448009633856,68429,13.866448009633856,68429,0.0,,/tmp/ng_seddik_precision/submission/task051.onnx
52,267,267,17.886857891292912,1228,17.886857891292912,1228,0.0,,/tmp/ng_seddik_precision/submission/task052.onnx
53,60,60,21.598802618337846,30,21.598802618337846,30,0.0,,/tmp/ng_seddik_precision/submission/task053.onnx
54,266,266,13.07796275080141,150548,13.07796275080141,150548,0.0,,/tmp/ng_seddik_precision/submission/task054.onnx
55,0,265,0.0,,14.815477417733884,26490,-14.815477417733884,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 286, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 2 with size 30",/tmp/ng_seddik_precision/submission/task055.onnx
56,46,46,19.638707834290575,213,19.638707834290575,213,0.0,,/tmp/ng_seddik_precision/submission/task056.onnx
57,265,265,14.71452069554135,29304,14.71452069554135,29304,0.0,,/tmp/ng_seddik_precision/submission/task057.onnx
58,22,22,15.311563828880745,16130,15.314295392535985,16086,-0.002731563655240521,,/tmp/ng_seddik_precision/submission/task058.onnx
59,266,266,15.076170749805957,20411,15.077347278202861,20387,-0.0011765283969040752,,/tmp/ng_seddik_precision/submission/task059.onnx
60,265,265,16.372876749211567,5581,16.372876749211567,5581,0.0,,/tmp/ng_seddik_precision/submission/task060.onnx
61,267,267,15.152342332424542,18914,15.152342332424542,18914,0.0,,/tmp/ng_seddik_precision/submission/task061.onnx
62,267,267,14.670950637656585,30609,14.670950637656585,30609,0.0,,/tmp/ng_seddik_precision/submission/task062.onnx
63,266,266,14.666940264012474,30732,14.666940264012474,30732,0.0,,/tmp/ng_seddik_precision/submission/task063.onnx
64,267,267,13.354705067178468,114153,13.354705067178468,114153,0.0,,/tmp/ng_seddik_precision/submission/task064.onnx
65,266,266,14.534186050835478,35095,14.543691118245864,34763,-0.009505067410385593,,/tmp/ng_seddik_precision/submission/task065.onnx
66,266,266,13.455382088297283,103220,13.489738079116012,99734,-0.034355990818729865,,/tmp/ng_seddik_precision/submission/task066.onnx
67,266,266,19.247427361174367,315,19.247427361174367,315,0.0,,/tmp/ng_seddik_precision/submission/task067.onnx
68,266,266,15.55942130423374,12589,15.55942130423374,12589,0.0,,/tmp/ng_seddik_precision/submission/task068.onnx
69,264,264,13.658456151785392,84250,13.667997070910019,83450,-0.009540919124626512,,/tmp/ng_seddik_precision/submission/task069.onnx
70,266,266,13.90050125280863,66138,13.90050125280863,66138,0.0,,/tmp/ng_seddik_precision/submission/task070.onnx
71,265,265,13.22640401182484,129780,13.22640401182484,129780,0.0,,/tmp/ng_seddik_precision/submission/task071.onnx
72,268,268,17.8229812340901,1309,17.8229812340901,1309,0.0,,/tmp/ng_seddik_precision/submission/task072.onnx
73,15,15,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task073.onnx
74,267,267,15.009188619292196,21825,15.009188619292196,21825,0.0,,/tmp/ng_seddik_precision/submission/task074.onnx
75,265,265,14.742796878157792,28487,14.742796878157792,28487,0.0,,/tmp/ng_seddik_precision/submission/task075.onnx
76,266,266,12.292867258634116,330094,12.303529973656687,326593,-0.010662715022570879,,/tmp/ng_seddik_precision/submission/task076.onnx
77,266,266,13.032857358715912,157494,13.032857358715912,157494,0.0,,/tmp/ng_seddik_precision/submission/task077.onnx
78,266,266,15.65024557224114,11496,15.65024557224114,11496,0.0,,/tmp/ng_seddik_precision/submission/task078.onnx
79,266,266,15.029648507210364,21383,15.029648507210364,21383,0.0,,/tmp/ng_seddik_precision/submission/task079.onnx
80,0,266,0.0,,14.353266435603462,42055,-14.353266435603462,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 286, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 3 with size 30",/tmp/ng_seddik_precision/submission/task080.onnx
81,264,264,17.256296741826247,2307,17.256296741826247,2307,0.0,,/tmp/ng_seddik_precision/submission/task081.onnx
82,265,265,14.936138316402742,23479,14.936138316402742,23479,0.0,,/tmp/ng_seddik_precision/submission/task082.onnx
83,266,266,17.504458056115745,1800,17.504458056115745,1800,0.0,,/tmp/ng_seddik_precision/submission/task083.onnx
84,175,175,15.121163810905001,19513,15.121163810905001,19513,0.0,,/tmp/ng_seddik_precision/submission/task084.onnx
85,265,265,13.36328292042622,113178,13.36328292042622,113178,0.0,,/tmp/ng_seddik_precision/submission/task085.onnx
86,266,266,14.83966336368449,25857,14.88523906872015,24705,-0.04557570503565955,,/tmp/ng_seddik_precision/submission/task086.onnx
87,266,266,19.09191706183107,368,19.09191706183107,368,0.0,,/tmp/ng_seddik_precision/submission/task087.onnx
88,267,267,13.80499590787612,72766,13.80499590787612,72766,0.0,,/tmp/ng_seddik_precision/submission/task088.onnx
89,267,267,14.179382068192274,50042,14.186179427563964,49703,-0.006797359371690348,,/tmp/ng_seddik_precision/submission/task089.onnx
90,267,267,13.94350667496543,63354,13.94350667496543,63354,0.0,,/tmp/ng_seddik_precision/submission/task090.onnx
91,266,266,14.151323325547068,51466,14.151323325547068,51466,0.0,,/tmp/ng_seddik_precision/submission/task091.onnx
92,265,265,14.25734036914603,46289,14.473546344027687,37289,-0.21620597488165672,,/tmp/ng_seddik_precision/submission/task092.onnx
93,265,265,15.354118052333183,15458,15.354118052333183,15458,0.0,,/tmp/ng_seddik_precision/submission/task093.onnx
94,265,265,15.745355702467293,10453,15.745355702467293,10453,0.0,,/tmp/ng_seddik_precision/submission/task094.onnx
95,265,265,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task095.onnx
96,266,266,12.827184286371278,193458,12.873890898610211,184630,-0.04670661223893369,,/tmp/ng_seddik_precision/submission/task096.onnx
